Profit and Loss by Class,,,,,,,
Vanguard Music and Performing Arts,,,,,,,
"June 1-30, 2025",,,,,,,

Distribution account,Alumni Association,Bingo - RWC,Bingo - SC,Santa Clara Vanguard,Shared Services,Texas Affiliate,Total
11010 Unrealized Gain/Loss from Inves,,,,,"-21,402.85",,"-21,402.85"
11020 Interest Expense,,,,0.75,"2,026.20",,"2,026.95"
11050 Depreciation,,,,,"25,481.89",,"25,481.89"
11060 Property Tax,,,,,"2,134.81",,"2,134.81"
11277 Donations,,,,,,"131,489.72","131,489.72"
Total for Other Expenses,,,,0.75,"8,867.76","131,489.72","$140,358.23"
Net Other Income,,,,-0.75,"-4,803.00","-131,489.72","-$136,293.47"
Net Income,330.00,"99,626.23","344,372.56","25,793.50","-425,339.08","-131,489.72","-$86,706.51"



"Accrual Basis Sunday, October 19, 2025 08:33 AM GMTZ",,,,,,,
